Mouvements touristiques des Suisses à l'étranger;;;;;;;;;;;;;;;;;;;;;;;;T 10.4.21.5
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Destinations;;Entrées aux frontières / Arrivées 1);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002 p
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total en milliers 2);;5 560,0 ;5 320,0 ;5 470,0 ;5 785,0 ;6 000,0 ;6 290,0 ;6 495,0 ;7 000,0 ;9 743,9 ;10 265,2 ;9 627,1 ;9 770,7 ;9 832,4 ;9 619,8 ;10 490,3 ;11 148,2 ;12 060,8 ;12 515,1 ;11 890,6 ;11 814,6 ;12 240,2 ;11 554,2 ;11 426,6 
;;;;;;;;;;;;;;;;;;;;;;;;
Europe;;;;;;;;;;;;;;;;;;;;;;;;
Belgique  3);AA;... ;... ;... ;... ;... ;... ;... ;... ;18 400 ;21 000 ;26 879 ;25 724 ;65 562 ;60 544 ;60 608 ;60 027 ;64 876 ;60 186 ;56 767 ;49 047 ;53 918 ;45 776 ;58 586 
Allemagne;AA;458 000 ;440 800 ;461 900 ;491 800 ;528 600 ;561 500 ;592 700 ;622 300 ;653 400 ;729 300 ;743 300 ;742 967 ;718 923 ;773 652 ;784 466 ;831 643 ;848 285 ;874 642 ;924 133 ;988 200 ;1 089 895 ;1 091 555 ;1 161 907 
Grèce;AF;154 697 ;143 844 ;149 497 ;173 830 ;156 995 ;205 662 ;157 412 ;172 000 ;175 000 ;205 000 ;151 695 ;126 241 ;163 126 ;164 999 ;175 153 ;259 072 ;256 425 ;295 731 ;289 387 ;308 138 ;322 575 ;229 384 ;220 476 
Espagne  4);AF;699 200 ;726 400 ;712 600 ;770 900 ;817 800 ;870 400 ;920 900 ;1 030 700 ;1 124 200 ;1 138 900 ;1 086 100 ;1 167 088 ;1 109 871 ;1 169 610 ;1 261 436 ;1 510 370 ;1 560 000 ;1 626 400 ;1 421 730 ;1 203 441 ;1 309 238 ;1 233 489 ;1 209 935 
France  3);AF;2 200 000 ;2 051 000 ;2 134 200 ;3 267 000 ;3 567 000 ;3 603 000 ;3 524 000 ;3 372 000 ;3 378 000 ;3 580 000 ;3 222 000 ;2 622 000 ;2 394 000 ;1 963 000 ;3 285 000 ;3 107 000 ;3 737 000 ;4 054 000 ;3 682 100 ;3 550 900 ;3 657 400 ;3 296 000 ;3 074 000 
Irlande;AF;13 000 ;13 000 ;16 000 ;15 000 ;13 000 ;16 000 ;18 000 ;17 000 ;24 000 ;31 000 ;40 500 ;46 000 ;52 000 ;40 000 ;62 000 ;62 000 ;62 000 ;58 000 ;54 000 ;60 000 ;49 000 ;38 000 ;42 000 
